incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
Eden Fire,2022-08-15,Alameda,58.0,37.70049,-121.97822,8,0,Summer,Medium
Quail Fire,2022-08-17,Los Angeles,53.0,34.48202,-118.60811,8,2,Summer,Medium
Pleasant Fire,2022-08-20,Nevada,48.0,39.2805,-121.1329,8,5,Summer,Medium
Point Fire,2022-08-20,Lake,14.0,38.9494,-122.6556,8,5,Summer,Small
East Fire,2022-08-25,Los Angeles,150.0,34.2338842,-117.8004523,8,3,Summer,Medium
Still Fire,2022-08-27,Nevada,44.0,39.0543,-121.1103,8,5,Summer,Medium
McCovey Fire,2022-08-29,Humboldt,25.0,41.4672,-123.9277,8,0,Summer,Small
Ranch Fire,2022-08-29,Humboldt,26.0,41.4626,-123.9477,8,0,Summer,Small
Gulch Fire,2022-08-29,Los Angeles,113.0,34.2026,-117.8608,8,0,Summer,Medium
Route Fire,2022-08-31,Los Angeles,5208.0,34.5255,-118.6479,8,2,Summer,Large
Border 32,2022-08-31,San Diego,4456.0,32.612181,-116.707395,8,2,Summer,Large
Branstetter Fire ,2022-09-01,Shasta,34.0,40.5336,-122.3975,9,3,Fall,Small
Walker Fire,2022-09-01,Mendocino,124.0,39.3669,-123.3159,9,3,Fall,Medium
Woods Fire,2022-09-01,Tuolumne,21.0,37.968,-120.4013,9,3,Fall,Small
Mill Fire,2022-09-02,Siskiyou,3939.0,41.4303,-122.3852,9,4,Fall,Large
Tower Fire,2022-09-02,Calaveras,73.0,38.0182816,-120.7489517,9,4,Fall,Medium
Mountain Fire ,2022-09-02,Siskiyou,13440.0,41.459009,-122.627469,9,4,Fall,Large
Sandia Fire,2022-09-04,San Diego,30.0,33.432924,-117.246996,9,6,Fall,Small
Caesar Fire,2022-09-05,San Diego,50.0,33.064629,-116.811345,9,0,Fall,Medium
Fairview Fire,2022-09-05,Riverside,28098.0,33.717062,-116.893227,9,0,Fall,Large
Hill Fire,2022-09-06,Placer,11.0,39.1252,-120.816083,9,1,Fall,Small
Radford Fire,2022-09-05,San Bernardino,1079.0,34.177,-116.882,9,0,Fall,Large
Rosa Fire,2022-09-06,San Luis Obispo,16.0,35.580125,-121.012313,9,1,Fall,Small
Power Fire ,2022-09-06,Fresno,130.0,37.080478,-119.485927,9,1,Fall,Medium
Mosquito Fire,2022-09-06,"El Dorado, Placer",76788.0,39.00591,-120.7447,9,1,Fall,Large
Fork Fire ,2022-09-07,Madera,819.0,37.21945,-119.50881,9,2,Fall,Large
Coyote Fire,2022-09-07,Siskiyou,297.0,41.8739166,-121.839853,9,2,Fall,Large
Barnes Fire,2022-09-07,Modoc,5843.0,41.87117,-120.29122,9,2,Fall,Large
Forward Fire,2022-09-09,Tehama,160.0,40.44109,-121.81822,9,4,Fall,Large
Dutch Fire,2022-09-13,Placer,48.0,39.1902,-120.8266,9,1,Fall,Medium
Garden Fire,2022-09-17,Placer,29.0,39.9929,-121.2122,9,5,Fall,Small
97 Fire,2022-09-27,Siskiyou,30.0,41.4987,-122.3414,9,1,Fall,Small
Pleasant Fire ,2022-10-23,Inyo,50.0,37.38939,-118.50091,10,6,Fall,Medium
66 Fire,2023-05-15,Riverside,127.0,33.569342,-116.092746,5,0,Spring,Medium
